;电度表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程值转换系数,电度表满量程值,电度基数,人工置数,存储周期,属性
1,4,19,66,"MC00006","正向无功","1202H","1202H",0,0,0,25,1,0,0,0,5,1
1,4,19,67,"MC00007","反向有功","1203H","1203H",0,0,0,24,1,0,0,0,5,1
1,4,19,68,"MC00008","反向无功","1204H","1204H",0,0,0,25,1,0,0,0,5,1
1,4,20,69,"MC00009","正向有功","1201H","1201H",0,0,0,24,1,0,0,0,5,1
1,4,20,70,"MC00010","正向无功","1202H","1202H",0,0,0,25,1,0,0,0,5,1
1,4,20,71,"MC00011","反向有功","1203H","1203H",0,0,0,24,1,0,0,0,5,1
1,4,20,72,"MC00012","反向无功","1204H","1204H",0,0,0,25,1,0,0,0,5,1
1,4,21,73,"MC00013","正向有功","1201H","1201H",0,0,0,24,1,0,0,0,5,1
1,4,21,74,"MC00014","正向无功","1202H","1202H",0,0,0,25,1,0,0,0,5,1
1,4,21,75,"MC00015","反向有功","1203H","1203H",0,0,0,24,1,0,0,0,5,1
1,4,21,76,"MC00016","反向无功","1204H","1204H",0,0,0,25,1,0,0,0,5,1
