遥控表
所属厂站,所属通道,所属RTU,编号,名称,描述,on操作地址,备on操作地址,所属间隔,所属设备,点类型,对应点类型,对应点,off操作地址,备off操作地址,每天最多允许次数,操作间隔限制,属性,闭锁属性,on允许计算点,off允许计算点,对应连锁点编号
1,1,2,51,1#低后备保护_YK00051,MTPR_850Hb_CH_IEC104_V1.00.03_CT断线告警投退,E14H,E14H,0,0,0,0,0,E14H,E14H,0,0,0,0,0,0,0
1,1,2,52,1#低后备保护_YK00052,MTPR_850Hb_CH_IEC104_V1.00.03_遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,2,53,1#低后备保护_YK00053,MTPR_850Hb_CH_IEC104_V1.00.03_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,3,54,1#差动保护_YK00054,MTPR_830Hb_CH_IEC104_V1.00.02_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,3,55,1#差动保护_YK00055,MTPR_830Hb_CH_IEC104_V1.00.02_差动速断保护投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,3,56,1#差动保护_YK00056,MTPR_830Hb_CH_IEC104_V1.00.02_比率差动保护投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,3,57,1#差动保护_YK00057,MTPR_830Hb_CH_IEC104_V1.00.02_差流越限告警投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,3,58,1#差动保护_YK00058,MTPR_830Hb_CH_IEC104_V1.00.02_CT断线告警投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,3,59,1#差动保护_YK00059,MTPR_830Hb_CH_IEC104_V1.00.02_CT断线闭锁投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,3,60,1#差动保护_YK00060,MTPR_830Hb_CH_IEC104_V1.00.02_高温保护投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,3,61,1#差动保护_YK00061,MTPR_830Hb_CH_IEC104_V1.00.02_冷控失电投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,4,62,1#电容器保护_YK00062,MCPR_810Hb_CH_IEC104_V1.01.01_遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,4,63,1#电容器保护_YK00063,MCPR_810Hb_CH_IEC104_V1.01.01_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,4,64,1#电容器保护_YK00064,MCPR_810Hb_CH_IEC104_V1.01.01_速断保护投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,4,65,1#电容器保护_YK00065,MCPR_810Hb_CH_IEC104_V1.01.01_过电流保护投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,4,66,1#电容器保护_YK00066,MCPR_810Hb_CH_IEC104_V1.01.01_零序过流告警投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,4,67,1#电容器保护_YK00067,MCPR_810Hb_CH_IEC104_V1.01.01_零序过流跳闸投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,4,68,1#电容器保护_YK00068,MCPR_810Hb_CH_IEC104_V1.01.01_过压告警投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,4,69,1#电容器保护_YK00069,MCPR_810Hb_CH_IEC104_V1.01.01_过压跳闸投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,4,70,1#电容器保护_YK00070,MCPR_810Hb_CH_IEC104_V1.01.01_失压跳闸投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,4,71,1#电容器保护_YK00071,MCPR_810Hb_CH_IEC104_V1.01.01_失压电流闭锁投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,4,72,1#电容器保护_YK00072,MCPR_810Hb_CH_IEC104_V1.01.01_重瓦斯跳闸投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,4,73,1#电容器保护_YK00073,MCPR_810Hb_CH_IEC104_V1.01.01_轻瓦斯告警投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,4,74,1#电容器保护_YK00074,MCPR_810Hb_CH_IEC104_V1.01.01_超温跳闸投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,4,75,1#电容器保护_YK00075,MCPR_810Hb_CH_IEC104_V1.01.01_温度告警投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,4,76,1#电容器保护_YK00076,MCPR_810Hb_CH_IEC104_V1.01.01_非电量1保护投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,4,77,1#电容器保护_YK00077,MCPR_810Hb_CH_IEC104_V1.01.01_非电量2保护投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,4,78,1#电容器保护_YK00078,MCPR_810Hb_CH_IEC104_V1.01.01_PT断线告警投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,4,79,1#电容器保护_YK00079,MCPR_810Hb_CH_IEC104_V1.01.01_PT断线闭锁投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,4,80,1#电容器保护_YK00080,MCPR_810Hb_CH_IEC104_V1.01.01_不平衡电压跳闸投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,4,81,1#电容器保护_YK00081,MCPR_810Hb_CH_IEC104_V1.01.01_不平衡电流跳闸投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,5,82,1#PT柜_YK00082,MPTS_810Hb_IEC104_V1.01.01_遥控并列/解列,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,5,83,1#PT柜_YK00083,MPTS_810Hb_IEC104_V1.01.01_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,5,84,1#PT柜_YK00084,MPTS_810Hb_IEC104_V1.01.01_PT并列投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,5,85,1#PT柜_YK00085,MPTS_810Hb_IEC104_V1.01.01_手动并列投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,5,86,1#PT柜_YK00086,MPTS_810Hb_IEC104_V1.01.01_手动并列经PT刀闸,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,5,87,1#PT柜_YK00087,MPTS_810Hb_IEC104_V1.01.01_自动并列投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,5,88,1#PT柜_YK00088,MPTS_810Hb_IEC104_V1.01.01_自动并列经PT刀闸,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,5,89,1#PT柜_YK00089,MPTS_810Hb_IEC104_V1.01.01_遥控并列投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,5,90,1#PT柜_YK00090,MPTS_810Hb_IEC104_V1.01.01_遥控并列方式,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,5,91,1#PT柜_YK00091,MPTS_810Hb_IEC104_V1.01.01_遥控并列经PT刀闸,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,5,92,1#PT柜_YK00092,MPTS_810Hb_IEC104_V1.01.01_I段过电压告警投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,5,93,1#PT柜_YK00093,MPTS_810Hb_IEC104_V1.01.01_Ⅰ段低电压告警投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,5,94,1#PT柜_YK00094,MPTS_810Hb_IEC104_V1.01.01_Ⅱ段过电压告警投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,5,95,1#PT柜_YK00095,MPTS_810Hb_IEC104_V1.01.01_Ⅱ段低电压告警投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,5,96,1#PT柜_YK00096,MPTS_810Hb_IEC104_V1.01.01_Ⅰ段接地告警投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,5,97,1#PT柜_YK00097,MPTS_810Hb_IEC104_V1.01.01_Ⅱ段接地告警投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,5,98,1#PT柜_YK00098,MPTS_810Hb_IEC104_V1.01.01_Ⅰ段PT断线告警投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,5,99,1#PT柜_YK00099,MPTS_810Hb_IEC104_V1.01.01_Ⅱ段PT断线告警投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,6,100,1#馈线保护1_YK00100,MLPR_810Hb_CH_IEC104_V1.02.01_遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,6,101,1#馈线保护1_YK00101,MLPR_810Hb_CH_IEC104_V1.02.01_复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,6,102,1#馈线保护1_YK00102,MLPR_810Hb_CH_IEC104_V1.02.01_速断保护投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,6,103,1#馈线保护1_YK00103,MLPR_810Hb_CH_IEC104_V1.02.01_限时速断保护投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,6,104,1#馈线保护1_YK00104,MLPR_810Hb_CH_IEC104_V1.02.01_过电流保护投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,6,105,1#馈线保护1_YK00105,MLPR_810Hb_CH_IEC104_V1.02.01_速断方向投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,6,106,1#馈线保护1_YK00106,MLPR_810Hb_CH_IEC104_V1.02.01_限时速断方向投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,6,107,1#馈线保护1_YK00107,MLPR_810Hb_CH_IEC104_V1.02.01_过电流方向投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,6,108,1#馈线保护1_YK00108,MLPR_810Hb_CH_IEC104_V1.02.01_过电流反方向投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,6,109,1#馈线保护1_YK00109,MLPR_810Hb_CH_IEC104_V1.02.01_速断复压闭锁投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,6,110,1#馈线保护1_YK00110,MLPR_810Hb_CH_IEC104_V1.02.01_限时速断复压闭锁投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,6,111,1#馈线保护1_YK00111,MLPR_810Hb_CH_IEC104_V1.02.01_过电流复压闭锁投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,6,112,1#馈线保护1_YK00112,MLPR_810Hb_CH_IEC104_V1.02.01_反时限过流投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,6,113,1#馈线保护1_YK00113,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流I段投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,6,114,1#馈线保护1_YK00114,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流II段投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,6,115,1#馈线保护1_YK00115,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流III段告警投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,6,116,1#馈线保护1_YK00116,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流III段保护投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,6,117,1#馈线保护1_YK00117,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流I段方向投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,6,118,1#馈线保护1_YK00118,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流II段方向投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,6,119,1#馈线保护1_YK00119,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流III段方向投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,6,120,1#馈线保护1_YK00120,MLPR_810Hb_CH_IEC104_V1.02.01_零序电压闭锁零序过流I段投退,E13H,E13H,0,0,0,0,0,E13H,E13H,0,0,0,0,0,0,0
1,1,6,121,1#馈线保护1_YK00121,MLPR_810Hb_CH_IEC104_V1.02.01_零序电压闭锁零序过流II段投退,E14H,E14H,0,0,0,0,0,E14H,E14H,0,0,0,0,0,0,0
1,1,6,122,1#馈线保护1_YK00122,MLPR_810Hb_CH_IEC104_V1.02.01_零序电压闭锁零序过流III段投退,E15H,E15H,0,0,0,0,0,E15H,E15H,0,0,0,0,0,0,0
1,1,6,123,1#馈线保护1_YK00123,MLPR_810Hb_CH_IEC104_V1.02.01_零序过压告警投退,E16H,E16H,0,0,0,0,0,E16H,E16H,0,0,0,0,0,0,0
1,1,6,124,1#馈线保护1_YK00124,MLPR_810Hb_CH_IEC104_V1.02.01_零序过压跳闸投退,E17H,E17H,0,0,0,0,0,E17H,E17H,0,0,0,0,0,0,0
1,1,6,125,1#馈线保护1_YK00125,MLPR_810Hb_CH_IEC104_V1.02.01_过负荷告警投退,E18H,E18H,0,0,0,0,0,E18H,E18H,0,0,0,0,0,0,0
1,1,6,126,1#馈线保护1_YK00126,MLPR_810Hb_CH_IEC104_V1.02.01_过负荷跳闸投退,E19H,E19H,0,0,0,0,0,E19H,E19H,0,0,0,0,0,0,0
1,1,6,127,1#馈线保护1_YK00127,MLPR_810Hb_CH_IEC104_V1.02.01_低电压投退,E1AH,E1AH,0,0,0,0,0,E1AH,E1AH,0,0,0,0,0,0,0
1,1,6,128,1#馈线保护1_YK00128,MLPR_810Hb_CH_IEC104_V1.02.01_低频投退,E1BH,E1BH,0,0,0,0,0,E1BH,E1BH,0,0,0,0,0,0,0
1,1,6,129,1#馈线保护1_YK00129,MLPR_810Hb_CH_IEC104_V1.02.01_滑差闭锁投退,E1CH,E1CH,0,0,0,0,0,E1CH,E1CH,0,0,0,0,0,0,0
1,1,6,130,1#馈线保护1_YK00130,MLPR_810Hb_CH_IEC104_V1.02.01_保护启动重合闸投退,E1DH,E1DH,0,0,0,0,0,E1DH,E1DH,0,0,0,0,0,0,0
1,1,6,131,1#馈线保护1_YK00131,MLPR_810Hb_CH_IEC104_V1.02.01_不对应启动重合闸投退,E1EH,E1EH,0,0,0,0,0,E1EH,E1EH,0,0,0,0,0,0,0
1,1,6,132,1#馈线保护1_YK00132,MLPR_810Hb_CH_IEC104_V1.02.01_重合闸检同期投退,E1FH,E1FH,0,0,0,0,0,E1FH,E1FH,0,0,0,0,0,0,0
1,1,6,133,1#馈线保护1_YK00133,MLPR_810Hb_CH_IEC104_V1.02.01_重合闸检无压投退,E20H,E20H,0,0,0,0,0,E20H,E20H,0,0,0,0,0,0,0
1,1,6,134,1#馈线保护1_YK00134,MLPR_810Hb_CH_IEC104_V1.02.01_过流后加速投退,E21H,E21H,0,0,0,0,0,E21H,E21H,0,0,0,0,0,0,0
1,1,6,135,1#馈线保护1_YK00135,MLPR_810Hb_CH_IEC104_V1.02.01_零序过流后加速投退,E22H,E22H,0,0,0,0,0,E22H,E22H,0,0,0,0,0,0,0
1,1,6,136,1#馈线保护1_YK00136,MLPR_810Hb_CH_IEC104_V1.02.01_PT断线告警投退,E23H,E23H,0,0,0,0,0,E23H,E23H,0,0,0,0,0,0,0
1,1,6,137,1#馈线保护1_YK00137,MLPR_810Hb_CH_IEC104_V1.02.01_PT断线闭锁投退,E24H,E24H,0,0,0,0,0,E24H,E24H,0,0,0,0,0,0,0
1,1,6,138,1#馈线保护1_YK00138,MLPR_810Hb_CH_IEC104_V1.02.01_非电量1投退,E25H,E25H,0,0,0,0,0,E25H,E25H,0,0,0,0,0,0,0
1,1,6,139,1#馈线保护1_YK00139,MLPR_810Hb_CH_IEC104_V1.02.01_非电量2投退,E26H,E26H,0,0,0,0,0,E26H,E26H,0,0,0,0,0,0,0
1,1,6,140,1#馈线保护1_YK00140,MLPR_810Hb_CH_IEC104_V1.02.01_母充保护投退,E27H,E27H,0,0,0,0,0,E27H,E27H,0,0,0,0,0,0,0
1,1,6,141,1#馈线保护1_YK00141,MLPR_810Hb_CH_IEC104_V1.02.01_手动同期合闸投退,E28H,E28H,0,0,0,0,0,E28H,E28H,0,0,0,0,0,0,0
