;定值表
;所属通道,所属RTU,地址,名称,定值数据类型,定值数据长度,量程单位,工程值转换系数,属性配置,下限值,上限值,步长
1,1,1317H,过流Ⅲ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1318H,零序电压闭锁,6,4,2,1.000000,0,0.000000,200.000000,0.010000
1,1,1319H,零序Ⅰ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,131AH,零序Ⅱ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,131BH,零序Ⅰ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,1,131CH,零序Ⅱ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,1,131DH,零序Ⅰ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,131EH,零序Ⅰ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,131FH,零序Ⅰ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1320H,零序Ⅱ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1321H,零序Ⅱ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1322H,零序Ⅱ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1323H,间隙零序过流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,1324H,间隙过流延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1325H,间隙过流延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1326H,间隙零序过压定值,6,4,2,1.000000,0,0.000000,300.000000,0.010000
1,1,1327H,间隙过压延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1328H,间隙过压延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1329H,过负荷电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,132AH,过负荷延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,132BH,启动风冷电流,6,4,1,1.000000,0,0.000000,50.000000,0.010000
1,1,132CH,启动风冷延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,132DH,闭锁调压定值,6,4,1,1.000000,0,0.000000,50.000000,0.010000
1,1,132EH,闭锁调压延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,132FH,零序选跳外变定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,1,1330H,外变跳本变延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,1,1331H,CT断线闭锁电流,6,4,1,1.000000,0,0.000000,10.000000,0.010000
1,1,1332H,CT断线延时,6,4,26,1.000000,0,5.000000,100.000000,0.010000
1,1,1333H,PT断线延时,6,4,26,1.000000,0,5.000000,100.000000,0.010000
1,2,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,2,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,2,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,2,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,2,1307H,低电压定值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,2,1308H,负序电压,6,4,2,1.000000,0,0.000000,30.000000,0.010000
1,2,1309H,过流Ⅰ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,130AH,过流Ⅱ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,130BH,过流Ⅲ段电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,130CH,过流Ⅰ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,2,130DH,过流Ⅱ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,2,130EH,过流Ⅲ段方向,6,4,0,1.000000,0,0.000000,1.000000,1.000000
1,2,130FH,过流Ⅰ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1310H,过流Ⅰ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1311H,过流Ⅰ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1312H,过流Ⅱ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1313H,过流Ⅱ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1314H,过流Ⅱ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1315H,过流Ⅲ段延时1,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1316H,过流Ⅲ段延时2,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1317H,过流Ⅲ段延时3,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1318H,零序电压定值,6,4,2,1.000000,0,0.000000,200.000000,0.010000
1,2,1319H,零序电压延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,131AH,母充保护电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,131BH,母充保护延时定值,6,4,26,1.000000,0,0.000000,15.000000,0.010000
1,2,131CH,母充保护开放时间,6,4,26,1.000000,0,0.000000,15.000000,0.010000
1,2,131DH,零序过流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,131EH,零序过流延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,131FH,过负荷电流,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,2,1320H,过负荷延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1321H,启动风冷电流,6,4,1,1.000000,0,0.000000,50.000000,0.010000
1,2,1322H,启动风冷延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1323H,闭锁调压定值,6,4,1,1.000000,0,0.000000,50.000000,0.010000
1,2,1324H,闭锁调压延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,2,1325H,CT断线延时,6,4,26,1.000000,0,5.000000,100.000000,0.010000
1,2,1326H,PT断线延时,6,4,26,1.000000,0,5.000000,100.000000,0.010000
1,3,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,3,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,3,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,3,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,3,1307H,突变量启动值,6,4,1,1.000000,0,0.100000,10.000000,0.010000
1,3,1308H,差动速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,1309H,比率差动最小门槛值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,130AH,比率制动拐点1,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,130BH,比率制动拐点2,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,130CH,比率制动系数1,6,4,0,1.000000,0,0.100000,1.000000,0.010000
1,3,130DH,比率制动系数2,6,4,0,1.000000,0,0.100000,1.000000,0.010000
1,3,130EH,二次谐波制动系数,6,4,0,1.000000,0,0.100000,1.000000,0.010000
1,3,130FH,差流越限定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,1310H,CT闭锁电流,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,3,1311H,CT告警延时,6,4,26,1.000000,0,0.100000,100.000000,0.010000
1,3,1312H,高温延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,3,1313H,冷控失电长延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,3,1314H,冷控失电短延时,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,4,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,4,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,4,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,4,1307H,速断定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,4,1308H,过电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,4,1309H,速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,130AH,过电流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,130BH,零序过流电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,4,130CH,零序过流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,130DH,过压电压定值,6,4,2,1.000000,0,50.000000,120.000000,0.010000
1,4,130EH,过压延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,130FH,失压电压定值,6,4,2,1.000000,0,5.000000,100.000000,0.010000
1,4,1310H,失压电流闭锁定值,6,4,1,1.000000,0,0.010000,100.000000,0.010000
1,4,1311H,失压延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,4,1312H,PT断线延时,6,4,26,1.000000,0,1.000000,100.000000,0.010000
1,4,1313H,最大负荷电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,4,1314H,非电量1电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,4,1315H,非电量2电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,4,1316H,非电量1延时定值,6,4,26,1.000000,0,0.100000,100.000000,0.010000
1,4,1317H,非电量2延时定值,6,4,26,1.000000,0,0.100000,100.000000,0.010000
1,4,1318H,重瓦斯跳闸延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,1319H,轻瓦斯告警延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,131AH,超温跳闸延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,131BH,温度告警延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,131CH,不平衡电压定值,6,4,2,1.000000,0,2.000000,100.000000,0.010000
1,4,131DH,不平衡电压延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,4,131EH,不平衡电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,4,131FH,不平衡电流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,5,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,5,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,5,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,5,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,5,1307H,Ⅰ段过压定值,6,4,2,1.000000,0,10.000000,150.000000,0.010000
1,5,1308H,Ⅰ段低压定值,6,4,2,1.000000,0,10.000000,90.000000,0.010000
1,5,1309H,Ⅰ段无压定值,6,4,2,1.000000,0,5.000000,60.000000,0.010000
1,5,130AH,Ⅰ段过压延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,5,130BH,Ⅰ段低压延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,5,130CH,Ⅱ段过压定值,6,4,2,1.000000,0,10.000000,150.000000,0.010000
1,5,130DH,Ⅱ段低压定值,6,4,2,1.000000,0,10.000000,90.000000,0.010000
1,5,130EH,Ⅱ段无压定值,6,4,2,1.000000,0,5.000000,60.000000,0.010000
1,5,130FH,Ⅱ段过压延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,5,1310H,Ⅱ段低压延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,5,1311H,Ⅰ段零序电压,6,4,2,1.000000,0,1.000000,100.000000,0.010000
1,5,1312H,Ⅰ段零序延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,5,1313H,Ⅱ段零序电压,6,4,2,1.000000,0,1.000000,100.000000,0.010000
1,5,1314H,Ⅱ段零序延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,6,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,6,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,6,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,6,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,6,1307H,复压闭锁低电压定值,6,4,2,1.000000,0,30.000000,90.000000,0.010000
1,6,1308H,复压闭锁负序电压定值,6,4,2,1.000000,0,5.000000,30.000000,0.010000
1,6,1309H,速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,130AH,速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,130BH,限时速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,130CH,限时速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,130DH,过电流电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,130EH,过电流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,130FH,反时限特性曲线,6,4,0,1.000000,0,1.000000,4.000000,1.000000
1,6,1310H,反时限时间常数,6,4,0,1.000000,0,0.010000,1.000000,0.010000
1,6,1311H,反时限启动电流,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,1312H,零序电压闭锁值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,6,1313H,零序过流Ⅰ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,6,1314H,零序过流Ⅰ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,1315H,零序过流Ⅱ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,6,1316H,零序过流Ⅱ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,1317H,零序过流Ⅲ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,6,1318H,零序过流Ⅲ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,1319H,零序过压电压定值,6,4,2,1.000000,0,2.000000,100.000000,0.010000
1,6,131AH,零序过压延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,131BH,过负荷过流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,131CH,过负荷延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,131DH,低压保护电压定值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,6,131EH,低压保护延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,6,131FH,低频减载定值,6,4,5,1.000000,0,45.000000,50.000000,0.010000
1,6,1320H,低频减载延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,6,1321H,低频减载低电流闭锁定值,6,4,1,1.000000,0,0.200000,5.000000,0.010000
1,6,1322H,低频减载低电压闭锁定值,6,4,2,1.000000,0,10.000000,90.000000,0.010000
1,6,1323H,低频减载滑差闭锁定值,6,4,27,1.000000,0,0.500000,10.000000,0.010000
1,6,1324H,重合闸延时定值,6,4,26,1.000000,0,0.000000,10.000000,0.010000
1,6,1325H,重合闸检同期定值,6,4,31,1.000000,0,0.000000,50.000000,0.010000
1,6,1326H,重合闸检无压定值,6,4,2,1.000000,0,10.000000,50.000000,0.010000
1,6,1327H,过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,1328H,过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,6,1329H,零序过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,132AH,零序过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,6,132BH,PT断线延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,6,132CH,非电量1电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,6,132DH,非电量1延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,132EH,非电量2电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,6,132FH,非电量2延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,6,1330H,母充保护电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,6,1331H,母充保护延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,6,1332H,同期电压差定值,6,4,2,1.000000,0,0.100000,100.000000,0.010000
1,6,1333H,同期频率差定值,6,4,5,1.000000,0,0.100000,2.000000,0.010000
1,6,1334H,同期角度差定值,6,4,31,1.000000,0,1.000000,100.000000,0.010000
1,6,1335H,同期时间,6,4,26,1.000000,0,0.100000,100.000000,0.010000
1,6,1336H,同期无压定值,6,4,2,1.000000,0,0.100000,100.000000,0.010000
1,6,1337H,逆功率定值,6,4,19,1.000000,0,1.000000,1000.000000,0.100000
1,6,1338H,逆功率延时,6,4,26,1.000000,0,1.000000,100.000000,0.010000
1,7,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,7,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,7,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,7,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,7,1307H,复压闭锁低电压定值,6,4,2,1.000000,0,30.000000,90.000000,0.010000
1,7,1308H,复压闭锁负序电压定值,6,4,2,1.000000,0,5.000000,30.000000,0.010000
1,7,1309H,速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,130AH,速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,130BH,限时速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,130CH,限时速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,130DH,过电流电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,130EH,过电流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,130FH,反时限特性曲线,6,4,0,1.000000,0,1.000000,4.000000,1.000000
1,7,1310H,反时限时间常数,6,4,0,1.000000,0,0.010000,1.000000,0.010000
1,7,1311H,反时限启动电流,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,1312H,零序电压闭锁值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,7,1313H,零序过流Ⅰ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,7,1314H,零序过流Ⅰ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,1315H,零序过流Ⅱ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,7,1316H,零序过流Ⅱ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,1317H,零序过流Ⅲ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,7,1318H,零序过流Ⅲ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,1319H,零序过压电压定值,6,4,2,1.000000,0,2.000000,100.000000,0.010000
1,7,131AH,零序过压延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,131BH,过负荷过流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,131CH,过负荷延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,131DH,低压保护电压定值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,7,131EH,低压保护延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,7,131FH,低频减载定值,6,4,5,1.000000,0,45.000000,50.000000,0.010000
1,7,1320H,低频减载延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,7,1321H,低频减载低电流闭锁定值,6,4,1,1.000000,0,0.200000,5.000000,0.010000
1,7,1322H,低频减载低电压闭锁定值,6,4,2,1.000000,0,10.000000,90.000000,0.010000
1,7,1323H,低频减载滑差闭锁定值,6,4,27,1.000000,0,0.500000,10.000000,0.010000
1,7,1324H,重合闸延时定值,6,4,26,1.000000,0,0.000000,10.000000,0.010000
1,7,1325H,重合闸检同期定值,6,4,31,1.000000,0,0.000000,50.000000,0.010000
1,7,1326H,重合闸检无压定值,6,4,2,1.000000,0,10.000000,50.000000,0.010000
1,7,1327H,过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,1328H,过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,7,1329H,零序过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,132AH,零序过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,7,132BH,PT断线延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,7,132CH,非电量1电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,7,132DH,非电量1延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,132EH,非电量2电流定值,6,4,23,1.000000,0,4.000000,20.000000,0.010000
1,7,132FH,非电量2延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,7,1330H,母充保护电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,7,1331H,母充保护延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,7,1332H,同期电压差定值,6,4,2,1.000000,0,0.100000,100.000000,0.010000
1,7,1333H,同期频率差定值,6,4,5,1.000000,0,0.100000,2.000000,0.010000
1,7,1334H,同期角度差定值,6,4,31,1.000000,0,1.000000,100.000000,0.010000
1,7,1335H,同期时间,6,4,26,1.000000,0,0.100000,100.000000,0.010000
1,7,1336H,同期无压定值,6,4,2,1.000000,0,0.100000,100.000000,0.010000
1,7,1337H,逆功率定值,6,4,19,1.000000,0,1.000000,1000.000000,0.100000
1,7,1338H,逆功率延时,6,4,26,1.000000,0,1.000000,100.000000,0.010000
1,8,1303H,投退字1[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,8,1304H,投退字2[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,8,1305H,投退字3[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,8,1306H,投退字4[禁止修改],6,4,0,1.000000,0,0.000000,65535.000000,1.000000
1,8,1307H,复压闭锁低电压定值,6,4,2,1.000000,0,30.000000,90.000000,0.010000
1,8,1308H,复压闭锁负序电压定值,6,4,2,1.000000,0,5.000000,30.000000,0.010000
1,8,1309H,速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,130AH,速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,130BH,限时速断电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,130CH,限时速断延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,130DH,过电流电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,130EH,过电流延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,130FH,反时限特性曲线,6,4,0,1.000000,0,1.000000,4.000000,1.000000
1,8,1310H,反时限时间常数,6,4,0,1.000000,0,0.010000,1.000000,0.010000
1,8,1311H,反时限启动电流,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,1312H,零序电压闭锁值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,8,1313H,零序过流Ⅰ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,8,1314H,零序过流Ⅰ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,1315H,零序过流Ⅱ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,8,1316H,零序过流Ⅱ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,1317H,零序过流Ⅲ段电流定值,6,4,1,1.000000,0,0.000000,100.000000,0.010000
1,8,1318H,零序过流Ⅲ段延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,1319H,零序过压电压定值,6,4,2,1.000000,0,2.000000,100.000000,0.010000
1,8,131AH,零序过压延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,131BH,过负荷过流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,131CH,过负荷延时定值,6,4,26,1.000000,0,0.000000,100.000000,0.010000
1,8,131DH,低压保护电压定值,6,4,2,1.000000,0,30.000000,100.000000,0.010000
1,8,131EH,低压保护延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,8,131FH,低频减载定值,6,4,5,1.000000,0,45.000000,50.000000,0.010000
1,8,1320H,低频减载延时定值,6,4,26,1.000000,0,0.500000,100.000000,0.010000
1,8,1321H,低频减载低电流闭锁定值,6,4,1,1.000000,0,0.200000,5.000000,0.010000
1,8,1322H,低频减载低电压闭锁定值,6,4,2,1.000000,0,10.000000,90.000000,0.010000
1,8,1323H,低频减载滑差闭锁定值,6,4,27,1.000000,0,0.500000,10.000000,0.010000
1,8,1324H,重合闸延时定值,6,4,26,1.000000,0,0.000000,10.000000,0.010000
1,8,1325H,重合闸检同期定值,6,4,31,1.000000,0,0.000000,50.000000,0.010000
1,8,1326H,重合闸检无压定值,6,4,2,1.000000,0,10.000000,50.000000,0.010000
1,8,1327H,过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,1328H,过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,8,1329H,零序过流后加速电流定值,6,4,1,1.000000,0,0.100000,100.000000,0.010000
1,8,132AH,零序过流后加速延时定值,6,4,26,1.000000,0,0.000000,3.000000,0.010000
1,8,132BH,PT断线延时,6,4,26,1.000000,0,0.500000,100.000000,0.010000
