";""遥控表""",,,,,,,,,,,,,,,,,,,,,
";""所属厂站""",所属通道,所属RTU,编号,名称,描述,on操作地址,备on操作地址,所属间隔,所属设备,点类型,对应点类型,对应点,off操作地址,备off操作地址,每天最多允许次数,操作间隔限制,属性,闭锁属性,on允许计算点,off允许计算点,对应连锁点编号
1,1,2,33,RTU00002_YK00033,零序过流跳闸投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,2,34,RTU00002_YK00034,零序过流方向投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,2,35,RTU00002_YK00035,零序过流U0闭锁投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,2,36,RTU00002_YK00036,失压跳闸投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,2,37,RTU00002_YK00037,备自投投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,2,38,RTU00002_YK00038,保护启动重合闸投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,2,39,RTU00002_YK00039,不对应启动重合闸投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,2,40,RTU00002_YK00040,重合闸检同期投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,2,41,RTU00002_YK00041,重合闸检无压投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,2,42,RTU00002_YK00042,过流后加速投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,2,43,RTU00002_YK00043,零序过流后加速投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,2,44,RTU00002_YK00044,母线PT断线告警投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,2,45,RTU00002_YK00045,线路PT断线告警投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,2,46,RTU00002_YK00046,手动同期合闸投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,2,47,RTU00002_YK00047,遥控同期合闸投退,E13H,E13H,0,0,0,0,0,E13H,E13H,0,0,0,0,0,0,0
1,1,2,48,RTU00002_YK00048,合闸检同期投退,E14H,E14H,0,0,0,0,0,E14H,E14H,0,0,0,0,0,0,0
1,1,2,49,RTU00002_YK00049,合闸检无压投退,E15H,E15H,0,0,0,0,0,E15H,E15H,0,0,0,0,0,0,0
1,1,2,50,RTU00002_YK00050,零序过压告警投退,E16H,E16H,0,0,0,0,0,E16H,E16H,0,0,0,0,0,0,0
1,1,2,51,RTU00002_YK00051,零序过压跳闸投退,E17H,E17H,0,0,0,0,0,E17H,E17H,0,0,0,0,0,0,0
1,1,2,52,RTU00002_YK00052,控制回路断线投退,E18H,E18H,0,0,0,0,0,E18H,E18H,0,0,0,0,0,0,0
1,1,1,1,RTU00001_YK00001,遥控,C01H,C01H,0,0,0,0,0,C01H,C01H,0,0,0,0,0,0,0
1,1,1,2,RTU00001_YK00002,复归,1000H,1000H,0,0,3,0,0,1000H,1000H,0,0,0,0,0,0,0
1,1,1,3,RTU00001_YK00003,过流Ⅰ段保护投退,E01H,E01H,0,0,0,0,0,E01H,E01H,0,0,0,0,0,0,0
1,1,1,4,RTU00001_YK00004,过流Ⅱ段保护投退,E02H,E02H,0,0,0,0,0,E02H,E02H,0,0,0,0,0,0,0
1,1,1,5,RTU00001_YK00005,过流Ⅲ段保护投退,E03H,E03H,0,0,0,0,0,E03H,E03H,0,0,0,0,0,0,0
1,1,1,6,RTU00001_YK00006,零序过流告警投退,E04H,E04H,0,0,0,0,0,E04H,E04H,0,0,0,0,0,0,0
1,1,1,7,RTU00001_YK00007,零序过流跳闸投退,E05H,E05H,0,0,0,0,0,E05H,E05H,0,0,0,0,0,0,0
1,1,1,8,RTU00001_YK00008,零序过流方向投退,E06H,E06H,0,0,0,0,0,E06H,E06H,0,0,0,0,0,0,0
1,1,1,9,RTU00001_YK00009,零序过流U0闭锁投退,E07H,E07H,0,0,0,0,0,E07H,E07H,0,0,0,0,0,0,0
1,1,1,10,RTU00001_YK00010,失压跳闸投退,E08H,E08H,0,0,0,0,0,E08H,E08H,0,0,0,0,0,0,0
1,1,1,11,RTU00001_YK00011,备自投投退,E09H,E09H,0,0,0,0,0,E09H,E09H,0,0,0,0,0,0,0
1,1,1,12,RTU00001_YK00012,保护启动重合闸投退,E0AH,E0AH,0,0,0,0,0,E0AH,E0AH,0,0,0,0,0,0,0
1,1,1,13,RTU00001_YK00013,不对应启动重合闸投退,E0BH,E0BH,0,0,0,0,0,E0BH,E0BH,0,0,0,0,0,0,0
1,1,1,14,RTU00001_YK00014,重合闸检同期投退,E0CH,E0CH,0,0,0,0,0,E0CH,E0CH,0,0,0,0,0,0,0
1,1,1,15,RTU00001_YK00015,重合闸检无压投退,E0DH,E0DH,0,0,0,0,0,E0DH,E0DH,0,0,0,0,0,0,0
1,1,1,16,RTU00001_YK00016,过流后加速投退,E0EH,E0EH,0,0,0,0,0,E0EH,E0EH,0,0,0,0,0,0,0
1,1,1,17,RTU00001_YK00017,零序过流后加速投退,E0FH,E0FH,0,0,0,0,0,E0FH,E0FH,0,0,0,0,0,0,0
1,1,1,18,RTU00001_YK00018,母线PT断线告警投退,E10H,E10H,0,0,0,0,0,E10H,E10H,0,0,0,0,0,0,0
1,1,1,19,RTU00001_YK00019,线路PT断线告警投退,E11H,E11H,0,0,0,0,0,E11H,E11H,0,0,0,0,0,0,0
1,1,1,20,RTU00001_YK00020,手动同期合闸投退,E12H,E12H,0,0,0,0,0,E12H,E12H,0,0,0,0,0,0,0
1,1,1,21,RTU00001_YK00021,遥控同期合闸投退,E13H,E13H,0,0,0,0,0,E13H,E13H,0,0,0,0,0,0,0
1,1,1,22,RTU00001_YK00022,合闸检同期投退,E14H,E14H,0,0,0,0,0,E14H,E14H,0,0,0,0,0,0,0
1,1,1,23,RTU00001_YK00023,合闸检无压投退,E15H,E15H,0,0,0,0,0,E15H,E15H,0,0,0,0,0,0,0
1,1,1,24,RTU00001_YK00024,零序过压告警投退,E16H,E16H,0,0,0,0,0,E16H,E16H,0,0,0,0,0,0,0
1,1,1,25,RTU00001_YK00025,零序过压跳闸投退,E17H,E17H,0,0,0,0,0,E17H,E17H,0,0,0,0,0,0,0
1,1,1,26,RTU00001_YK00026,控制回路断线投退,E18H,E18H,0,0,0,0,0,E18H,E18H,0,0,0,0,0,0,0
