";""遥测表""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
";""所属厂站""",所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程量程,规约量程,工程值转换系数,工程值偏移量,小数位数,人工置数值,零漂死区,一级低限值,一级高限值,二级低限值,二级高限值,越限返回死区值,画面名称,存储周期,秒存储周期,对应遥信点,属性,报警属性,统计属性,电压报警属性,电压统计属性
1,1,3,53,RTU00003_YC00053,湿度1,80DH,80DH,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,54,RTU00003_YC00054,温度2,80EH,80EH,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,3,55,RTU00003_YC00055,湿度2,80FH,80FH,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,21,RTU00002_YC00021,IA,801H,801H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,22,RTU00002_YC00022,IB,802H,802H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,23,RTU00002_YC00023,IC,803H,803H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,24,RTU00002_YC00024,Uab,804H,804H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,25,RTU00002_YC00025,Ubc,805H,805H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,26,RTU00002_YC00026,Uca,806H,806H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,27,RTU00002_YC00027,U0,807H,807H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,28,RTU00002_YC00028,I0,808H,808H,0,0,8,1,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,29,RTU00002_YC00029,UabL,809H,809H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,30,RTU00002_YC00030,UbcL,80AH,80AH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,31,RTU00002_YC00031,UcaL,80BH,80BH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,32,RTU00002_YC00032,有功功率,80CH,80CH,0,0,3,19,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,33,RTU00002_YC00033,无功功率,80DH,80DH,0,0,4,20,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,34,RTU00002_YC00034,功率因数,80EH,80EH,0,0,5,21,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,35,RTU00002_YC00035,母线频率,80FH,80FH,0,0,7,5,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,36,RTU00002_YC00036,线路频率,810H,810H,0,0,7,5,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,37,RTU00002_YC00037,温度1,811H,811H,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,38,RTU00002_YC00038,湿度1,812H,812H,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,39,RTU00002_YC00039,温度2,813H,813H,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,2,40,RTU00002_YC00040,湿度2,814H,814H,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,1,RTU00001_YC00001,IA,801H,801H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,2,RTU00001_YC00002,IB,802H,802H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,3,RTU00001_YC00003,IC,803H,803H,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,4,RTU00001_YC00004,Uab,804H,804H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,5,RTU00001_YC00005,Ubc,805H,805H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,6,RTU00001_YC00006,Uca,806H,806H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,7,RTU00001_YC00007,U0,807H,807H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,8,RTU00001_YC00008,I0,808H,808H,0,0,8,1,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,9,RTU00001_YC00009,UabL,809H,809H,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,10,RTU00001_YC00010,UbcL,80AH,80AH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,11,RTU00001_YC00011,UcaL,80BH,80BH,0,0,2,2,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,12,RTU00001_YC00012,有功功率,80CH,80CH,0,0,3,19,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,13,RTU00001_YC00013,无功功率,80DH,80DH,0,0,4,20,1,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,14,RTU00001_YC00014,功率因数,80EH,80EH,0,0,5,21,1,1,1,0,3,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,15,RTU00001_YC00015,母线频率,80FH,80FH,0,0,7,5,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,16,RTU00001_YC00016,线路频率,810H,810H,0,0,7,5,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,17,RTU00001_YC00017,温度1,811H,811H,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,18,RTU00001_YC00018,湿度1,812H,812H,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,19,RTU00001_YC00019,温度2,813H,813H,0,0,6,18,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
1,1,1,20,RTU00001_YC00020,湿度2,814H,814H,0,0,0,27,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,10,0,0,170,0
