;遥测表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程量程,规约量程,工程值转换系数,工程值偏移量,小数位数,人工置数值,零漂死区,一级低限值,一级高限值,二级低限值,二级高限值,越限返回死区值,画面名称,存储周期,秒存储周期,对应遥信点,属性,报警属性,统计属性,电压报警属性,电压统计属性
1,1,1,14,"RTU00001_YC00014","1#馈线_功率因数","80EH","80EH",0,0,5,21,1,1,1,0,3,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,15,"RTU00001_YC00015","1#馈线_母线频率","80FH","80FH",0,0,7,5,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,16,"RTU00001_YC00016","1#馈线_线路频率","810H","810H",0,0,7,5,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,17,"RTU00001_YC00017","1#馈线_温度1","811H","811H",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,18,"RTU00001_YC00018","1#馈线_湿度1","812H","812H",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,19,"RTU00001_YC00019","1#馈线_温度2","813H","813H",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,1,20,"RTU00001_YC00020","1#馈线_湿度2","814H","814H",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,21,"RTU00002_YC00021","2#馈线_IA","801H","801H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,22,"RTU00002_YC00022","2#馈线_IB","802H","802H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,23,"RTU00002_YC00023","2#馈线_IC","803H","803H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,24,"RTU00002_YC00024","2#馈线_Uab","804H","804H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,25,"RTU00002_YC00025","2#馈线_Ubc","805H","805H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,26,"RTU00002_YC00026","2#馈线_Uca","806H","806H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,27,"RTU00002_YC00027","2#馈线_U0","807H","807H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,28,"RTU00002_YC00028","2#馈线_I0","808H","808H",0,0,8,1,1,1,1,0,3,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,29,"RTU00002_YC00029","2#馈线_UabL","809H","809H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,30,"RTU00002_YC00030","2#馈线_UbcL","80AH","80AH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,31,"RTU00002_YC00031","2#馈线_UcaL","80BH","80BH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,32,"RTU00002_YC00032","2#馈线_有功功率","80CH","80CH",0,0,3,19,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,33,"RTU00002_YC00033","2#馈线_无功功率","80DH","80DH",0,0,4,20,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,34,"RTU00002_YC00034","2#馈线_功率因数","80EH","80EH",0,0,5,21,1,1,1,0,3,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,35,"RTU00002_YC00035","2#馈线_母线频率","80FH","80FH",0,0,7,5,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,36,"RTU00002_YC00036","2#馈线_线路频率","810H","810H",0,0,7,5,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,37,"RTU00002_YC00037","2#馈线_温度1","811H","811H",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,38,"RTU00002_YC00038","2#馈线_湿度1","812H","812H",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,39,"RTU00002_YC00039","2#馈线_温度2","813H","813H",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,2,40,"RTU00002_YC00040","2#馈线_湿度2","814H","814H",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,41,"RTU00003_YC00041","3#馈线_IA3","801H","801H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,42,"RTU00003_YC00042","3#馈线_IC3","802H","802H",0,0,1,1,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,43,"RTU00003_YC00043","3#馈线_Uab1","803H","803H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,44,"RTU00003_YC00044","3#馈线_Ubc1","804H","804H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,45,"RTU00003_YC00045","3#馈线_Uab2","805H","805H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,46,"RTU00003_YC00046","3#馈线_Ubc2","806H","806H",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,47,"RTU00003_YC00047","3#馈线_分段有功功率","807H","807H",0,0,3,19,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,48,"RTU00003_YC00048","3#馈线_分段无功功率","808H","808H",0,0,4,20,1,1,1,0,1,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,49,"RTU00003_YC00049","3#馈线_分段功率因数","809H","809H",0,0,5,21,1,1,1,0,3,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,50,"RTU00003_YC00050","3#馈线_UL1","80AH","80AH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,51,"RTU00003_YC00051","3#馈线_UL2","80BH","80BH",0,0,2,2,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,52,"RTU00003_YC00052","3#馈线_温度1","80CH","80CH",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,53,"RTU00003_YC00053","3#馈线_湿度1","80DH","80DH",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,54,"RTU00003_YC00054","3#馈线_温度2","80EH","80EH",0,0,6,18,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
1,1,3,55,"RTU00003_YC00055","3#馈线_湿度2","80FH","80FH",0,0,0,27,1,1,1,0,2,0,0,0.5,5,0,0,0,"",5,0,0,10,0,0,170,0
